Title,URL,Post,Publication Date
Campanha de fiscalização contra a cata ilegal do caranguejo no litoral do Piauí começa nesta segunda-feira (13),https://carlsonpessoa.blogspot.com/2025/01/campanha-de-fiscalizacao-contra-cata.html,"O Governo do Piauí, por meio da Secretaria de Meio Ambiente e Recursos Hídricos (Semarh), realizará ações de fiscalização durante o período de defeso do caranguejo-uçá. A operação inicia, nesta segunda-feira (13) e segue até 18 de janeiro, em Parnaíba, Luiz Correia, Ilha Grande e Cajueiro da Praia.A mobilização tem com o objetivo combater a cata ilegal e proteger o caranguejo-uçá no período de defeso. Durante a fiscalização, além das vistorias em mercados, peixarias e restaurantes, e das incursões nos manguezais para verificar o cumprimento da lei que proíbe a cata do crustáceo, também será realizado um trabalho de conscientização junto aos catadores locais.“A Semarh reforça que a fiscalização será rigorosa, pois estaremos no litoral piauiense com três auditores fiscais ambientais, três equipes de segurança da Secretaria e teremos também o apoio da Companhia Independente de Policiamento Ambiental da região norte. Tudo para garantir a reprodução do animal”, afirmou o major Dênio Marinho, diretor de Fiscalização da Semarh.A penalidade administrativa prevista para o caso de pesca em período proibido é a aplicação de multa, que pode variar de R$ 700 a R$ 100 mil, com a possibilidade de acréscimo de R$ 20 a cada quilo de material encontrado.O período do defeso em 2025 compreende cinco etapas, em que é proibida a captura, o transporte, a industrialização e a comercialização do caranguejo-uçá. Os próximos períodos do defeso são: de 29 de janeiro a 3 de fevereiro; 27 de fevereiro a 4 de março e 29 de março a 3 de abril.A Secretaria do Meio Ambiente reforça que as pessoas físicas ou jurídicas envolvidas na criação em cativeiro, conservação, beneficiamento, industrialização ou comercialização do caranguejo-uçá devem apresentar a Declaração de Estoque ao Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama), até o último dia útil anterior ao início de cada período de defeso.FONTE: Governo do Piauí",Unknown date
ESPECIALIDADES: Hospital Marques Basto,https://carlsonpessoa.blogspot.com/2022/05/voce-conhece-os-nossos-medicos.html,,Unknown date
Criança de 2 anos morre eletrocutada após tocar fio de aparelho doméstico em Buriti dos Lopes,https://carlsonpessoa.blogspot.com/2025/01/crianca-de-2-anos-morre-eletrocutada.html,"Por volta das 16h deste sábado (11/01), uma criança identificada como Francisco Arthur de Oliveira da Conceição, de apenas 2 anos de idade, residente na rua Joaquim Camilo de Freitas, morreu após sofrer uma descarga elétrica em uma tomada de um aparelho doméstico dentro de casa em Buriti dos Lopes, Norte do Piauí.Segundo informações da polícia militar, Francisco Arthur estaria brincando próximo ao cabo de energia elétrico de um ventilador que estava ligado à tomada de fácil acesso, dentro do imóvel, quando foi eletrocutado após encostar no cabo energizado.A vítima ainda chegou a ser socorrida pelo Sistema de Atendimento Móvel de Urgência (SAMU), que prontamente realizou os primeiros atendimentos e encaminhou para o hospital estadual Dr. Mariano Lucas de Sousa em Buriti dos Lopes, onde a criança não resistiu e veio a óbito.Por RurikAraújoImagens: Rede Social",Unknown date
Agropecuária Industria e Comercio Santos Ltda. - ARROZ LONGÁ,https://carlsonpessoa.blogspot.com/2022/03/agropecuaria-industria-e-comercio.html,"Rua Dr. João Goulart, 810 no Bairro São José em Parnaíba(PI). Cep 64218- 030 - Fone: 86 33212377.",Unknown date
ACIDENTE - Mulher morre e filha fica gravemente ferida em acidente de moto em Buriti dos Lopes,https://carlsonpessoa.blogspot.com/2025/01/acidente-mulher-morre-e-filha-fica.html,"O caso será investigado pelas autoridades policiais para apurar as causas do acidente.Um acidente de trânsito ocorrido na tarde de sábado (11/01) em Buriti dos Lopes, deixou uma mulher morta e sua filha gravemente ferida. As vítimas, que estavam em uma motocicleta, colidiram com a traseira de um caminhão na estrada que liga a zona urbana a Lagoa Grande.A mulher que faleceu no local foi identificada como Rita de Cassia Oliveira, de 65 anos, que estava na garupa da moto conduzida pela filha, Antônia Maria Oliveira da Silva, de 42 anos. Após o impacto, Antônia foi socorrida por uma equipe do Serviço de Atendimento Móvel de Urgência (SAMU) e levada ao Hospital Estadual Dirceu Arcoverde (HEDA), em Parnaíba, com ferimentos graves.A Polícia Militar isolou a área do acidente, e o corpo de Rita de Cassia foi encaminhado ao Instituto Médico Legal (IML). O caso será investigado pelas autoridades policiais para apurar as causas do acidente.Fonte: 180graus",Unknown date
SESI - Atendimento Médico,https://carlsonpessoa.blogspot.com/2024/06/sesi-atendimento-medico_02087917948.html,,Unknown date
EXPRESSAS DO BLOG DO PESSOA,https://carlsonpessoa.blogspot.com/2025/01/expressas-do-blog-do-pessoa.html,"FATO!- Vai da
m... para os proprietários de carros movidos a energia elétrica em Parnaíba. A
Equatorial não está preparada para carregar os automóveis da categoria que estão chegando a cada dia. Tomara que esteja enganado!Imagem ilustrativaTRISTE- O Brasil
acompanha há duas semanas pela grande mídia nacional o caso do envenenamento de
uma família no Bairro Dom Rufino em Parnaíba.E AGORA?- Novo laudo
mostra que mulher presa, acusada de envenenar dois irmãos, pode ser inocente.
Já pensou a situação dessa senhora.CHUVAS-Tudo indica que a partir dessa semana teremos
chuvas no litoral piauiense. Com as chuvas, os velhos problemas de alagamentos.TUBARÃO!- O
Parnahyba Sport Club estreou dentro de casa (estádio Pedro Alelaf) fez o dever e
ganhou os três primeiros pontos.",Unknown date
SENAI: Matriculas abertas para curso de Computação Forense,https://carlsonpessoa.blogspot.com/2024/07/fiepi-iel-temos-vagas-estagio.html,,Unknown date
PAX UNIÃO INFORMA -  NOTA DE FALECIMENTO,https://carlsonpessoa.blogspot.com/2025/01/pax-uniao-informa-nota-de-falecimento_01608313106.html,"A PAX UNIÃO, em nome das famílias enlutadas, cumpre o seu doloroso dever decomunicar o falecimento das seguintes pessoas:1. MARIA DO SOCORRO RODRIGUES DOS SANTOS, 87 anos de idade, falecida às 11h40min do dia (11.01.2025) em sua residência na Rua 19 de Outubro, n°826, Bairro SãoJosé. O corpo foi velado no ESPAÇO VELATORIO DA PAX UNIÃO. O sepultamentoocorreu às 08h do dia (12.01.2025) no cemitério Santana.2. CARLOS AUGUSTO ARAÚJO XAVIER, 49 anos de idade, falecido às 04h 15min do dia(11.01.2025) no Hospital Marques Basto em Parnaíba-PI. O corpo foi velado no ConjuntoDom Rufino III, Q Z, C 24, Bairro Primavera. O sepultamento ocorreu às 16h do dia(12.01.2025) no cemitério Santana.3. FRANCISCO ARTHUR OLIVEIRA DA CONCEIÇÃO, 02 anos de idade, falecido às 15hdo dia (11.01.2025) no Hospital Mariano Lucas em Buriti dos Lopes-PI. O corpo foi veladona Rua Joaquim Camilo Freitas, n°84, Centro. O sepultamento ocorreu às 07h do dia(12.01.2025) no cemitério da cidade.4. FRANCISCA FERREIRA DO NASCIMENTO, 91 anos de idade, falecido às 23h 15min dodia (11.01.2025) Na Santa Casa de Misericórdia em Parnaíba-PI. O corpo foi trasladadopara Buriti dos Lopes-PI e foi velado na Rua José Almeida Brito, n°70, Bairro Macambira.O sepultamento ocorreu às 16h do dia (12.01.2025) no cemitério da cidade.5. MARIA ELISABETE DE AGUIAR FREIRE, 79 anos de idade, falecida às 05h 44min dodia (12.01.2025) em sua residência na Rua Vera Cruz, n°563, Bairro São José. O corpofoi velado no ESPAÇO VELATORIO DA PAX UNIÃO. O sepultamento ocorreu às 16h30min do dia (12.01.2025) no cemitério da Igualdade.6. RITA DE CASSIA OLIVEIRA, 65 anos de idade, falecida às 18h do dia (11.01.2025) emVia Pública. O corpo foi removido do IML e trasladado para o Povoado Libanio, zona ruralde Buriti dos Lopes, onde está sendo velado. O sepultamento será realizado às 17h30min de hoje (13.01.2025) no cemitério da Igualdade- Buriti dos Lopes.7. EVANDRO SANTOS DE SANTANA, falecido na madrugada do dia (12.01.2025) em ViaPública. O corpo foi removido do IML e está sendo velado na Avenida Castro Neves, s/n,Povoado São João, zona rural de Parnaíba. O sepultamento ocorreu às 08h de hoje(13.01.2025) no cemitério da comunidade.8. RAIMUNDA DE OLIVEIRA CARNEIRO, 76 anos de idade, falecida às 16h 30min do dia(12.01.2025) em sua residência no Povoado Lagoa do Riacho, zona rural de Luís Correia,onde está sendo velada. O sepultamento será realizado às 16h de hoje (13.01.2025) nocemitério da comunidade.A PAX UNIÃO, em nome das famílias enlutadas, agradece a todos que comparecerema este ato de fé e piedade cristã.Informou a Pax UniãoParnaíba – PI, 13 de Janeiro de 2025.",Unknown date
Jovem morre após comer mais de 100 seriguelas com caroço,https://carlsonpessoa.blogspot.com/2025/01/jovem-morre-apos-comer-mais-de-100.html,"Um jovem de 28 anos, com deficiência intelectual grave, morreu na noite desta quinta-feira (09/01) após passar mal em casa, no Parque dos Girassóis, em Campo Grande. De acordo com a mãe de criação, ele havia consumido mais de 100 seriguelas com caroço, o que causou um quadro de constipação. Com informações doTop Mídia News.Foto: FreepikO jovem havia sido internado no dia 2 de janeiro após se sentir mal, sendo inicialmente atendido na UPA Leblon e, posteriormente, encaminhado para o Hospital Regional. Lá, foi submetido a uma cirurgia para a retirada dos caroços e recebeu alta no dia 8 de janeiro. No entanto, na noite seguinte, ele foi encontrado inconsciente pela mãe.Ela tentou reanimá-lo, mas, mesmo com a chegada dos bombeiros, ele não resistiu e faleceu por volta das 22h. O caso foi registrado na Delegacia de Pronto Atendimento Comunitário (Depac) Cepol como morte a esclarecer, e está sendo investigado.",Unknown date
